#GENE1;GENE2;ww;ws;wb;sw;ss;sb;bw;bs;bb;chi2;x*;epistatic-pvalue;sa-pvalue
FERMT1;ROS1;54;0;82;0;4;0;113;0;152;44.901;154.638;0;0.769998138803298
CRISP2;C1orf168;341;1;40;0;4;1;12;0;6;39.292;2.075;1.14268993663003E-09;1
ROBO3;TAF1L;192;23;42;0;3;1;111;0;33;36.898;28.571;3.04717316434674E-09;0.592411280798094
KNSTRN;SLITRK1;229;19;0;0;3;0;153;0;1;36.821;0.402;3.04717316434674E-09;1
MOV10L1;USP25;155;0;3;0;3;0;231;0;13;35.409;9.711;8.37972620195353E-09;0.751780604695618
CHRM2;SLC6A15;267;0;114;6;5;4;7;0;2;35.251;2.677;1.18077960118436E-08;0.0419034632175585
TMTC2;CFAP70;329;0;47;4;4;0;14;0;7;34.974;2.856;1.29504859484736E-08;0.110160689433267
SORCS1;MYH4;102;1;234;18;2;9;12;5;22;34.118;23.524;1.63785557583637E-08;1
KLB;CFAP70;91;1;17;0;3;0;256;0;37;33.528;39.456;2.09493155048838E-08;0.0937678906626665
KLB;NR4A1;104;1;4;0;3;0;279;0;14;33.528;13.152;2.09493155048838E-08;0.79110846697134
ALDH1L1;SCNN1D;147;0;42;0;3;1;143;0;69;33.473;58.683;2.24729020870572E-08;0.66717395893238
PCDH10;PPARGC1A;160;0;212;9;6;14;1;0;3;33.008;2.287;2.74245584791206E-08;1
MAGEB2;WASF3;222;1;10;1;4;0;161;1;5;32.401;6.256;3.92323544909643E-08;1
ACSM1;COL2A1;264;1;100;4;0;0;20;7;9;31.951;8.043;5.25637370849812E-08;0.829801735357627
KIAA0226L;DCAKD;195;0;8;0;2;2;188;0;10;31.898;8.888;5.52300136037846E-08;1
HERC2;RBMXL2;191;0;73;12;5;10;88;0;26;31.545;29.857;6.39906364512815E-08;0.516835276075565
DOCK2;PCDH10;333;17;4;19;12;0;20;0;0;31.434;0.224;6.70378096156282E-08;1
HACL1;DGCR8;347;1;26;0;3;0;26;1;1;31.408;1.822;6.70378096156282E-08;1
LRRC7;ZNF804B;160;3;180;19;9;13;6;1;14;31.462;10.778;6.70378096156282E-08;1
CTNND2;CCDC63;352;0;24;14;5;1;9;0;0;31.394;0.561;7.1227672716605E-08;1
CTSG;SLITRK1;347;15;1;1;6;0;34;1;0;31.168;0.089;7.96073989185585E-08;1
ARHGAP4;CCER1;332;7;18;2;5;1;36;0;4;30.735;2.256;9.97949211323557E-08;0.812168316570261
PDHA2;SLC26A3;328;2;48;5;5;1;12;0;4;30.631;2.122;1.03222990942246E-07;0.879142019749466
DCTN1;PPP6R3;352;2;16;0;3;1;26;0;5;30.358;1.632;1.17697063472893E-07;0.402066494978815
TAF1L;ADAMTS2;89;4;210;11;7;8;18;2;56;30.275;52.772;1.22267823219413E-07;0.609538212422432
MAGEB2;NLRP2;76;0;157;0;3;2;46;0;121;30.13;116.065;1.2874306619365E-07;1
DCAF8L1;PRDM5;360;0;25;9;4;0;6;0;1;30.074;0.464;1.33694722585713E-07;0.673394345245855
DYNC2H1;SRCAP;123;0;26;3;4;0;198;11;40;29.732;40.589;1.56929417963857E-07;0.874199790581977
ROCK1;THBS2;350;12;15;3;6;0;17;0;2;29.738;0.841;1.56929417963857E-07;1
ACSM5;FLG2;65;9;79;5;4;0;106;3;134;29.618;133.125;1.66451834102441E-07;0.329984590560946
PTPRU;ANKHD1;235;5;12;1;3;2;141;0;6;29.638;6.716;1.66451834102441E-07;1
R3HDM1;DGKB;224;5;6;1;5;0;149;8;7;29.612;5.254;1.66451834102441E-07;1
KRT31;UBR5;315;8;7;1;5;0;63;3;3;29.407;1.701;1.87020252961781E-07;1
RPGR;CRISP2;285;2;11;3;3;3;94;0;4;29.452;3.731;1.87020252961781E-07;1
SPATA31D1;ZNF536;234;29;43;4;11;2;62;9;11;29.308;11.263;1.96923565745908E-07;0.170202068495288
ATP12A;RASGRP3;304;0;31;0;2;2;62;0;4;29.34;5.761;1.96923565745908E-07;1
RELN;KIRREL;232;0;7;22;6;1;130;1;6;29.334;4.715;1.96923565745908E-07;1
VPS13A;PCDHGA10;114;3;206;6;3;0;25;0;48;29.26;47.181;2.03398808720145E-07;1
TAOK2;GNB3;310;0;26;2;3;0;58;0;6;29.012;5.12;2.24729020870572E-07;0.331213869309187
CSRNP3;CLEC17A;310;2;52;0;3;0;34;0;4;29.077;5.32;2.24729020870572E-07;1
LRRTM4;CUL4A;245;0;137;20;2;0;1;0;0;28.98;0.358;2.39583990046762E-07;1
SSFA2;ACTR3B;283;0;15;2;3;0;99;0;3;28.863;4.59;2.58247925678386E-07;0.845057641200218
CLEC9A;ACTR3B;365;0;17;2;3;0;17;0;1;28.863;0.81;2.58247925678386E-07;0.965483041707982
MYLK3;ATP2B3;124;9;2;0;2;0;261;1;6;28.787;5.435;2.7234110156349E-07;1
ITGBL1;SPATA31A7;338;0;25;4;1;0;31;5;1;28.688;2.106;2.88719657321853E-07;0.73431895617597
RFX6;GRIK4;353;5;23;4;5;0;15;0;0;28.626;0.882;2.88719657321853E-07;0.919416193573395
PCDHB5;ZNF804B;138;8;153;1;5;5;46;0;49;28.628;49.715;2.88719657321853E-07;1
RFX6;NLRP10;353;5;23;4;5;0;14;0;1;28.648;0.921;2.88719657321853E-07;1
MNDA;PCDHGA8;172;2;186;2;4;1;18;0;20;28.557;19.768;3.0090834997924E-07;1
CRISP2;ZNF521;351;21;10;0;5;0;16;2;0;28.413;0.424;3.15001525864344E-07;0.659444818392288
LCLAT1;TCEAL5;294;3;24;0;3;0;76;0;5;28.447;5.887;3.15001525864344E-07;0.775104608352953
PCDHA12;AMTN;233;0;125;0;2;6;23;0;16;28.496;13.851;3.15001525864344E-07;0.780352173687399
ITPR2;UMOD;314;2;11;9;5;1;55;4;4;28.441;2.305;3.15001525864344E-07;1
KCNH8;SORCS1;264;16;35;9;9;0;64;4;4;28.408;7.226;3.15001525864344E-07;1
PSD2;SUGP1;300;1;80;1;3;4;13;0;3;28.27;3.354;3.52329397127592E-07;0.00571959603978347
SACS;AGMO;162;12;11;1;1;2;197;0;19;28.118;16.658;3.67184366303782E-07;0.213155498576394
SPATA17;POLR3A;337;2;17;0;3;0;44;1;1;28.105;2.03;3.67184366303782E-07;1
ADAM23;CRISP2;364;1;18;5;4;0;13;0;0;28.087;0.592;3.85848301935406E-07;1
TCF20;XYLT1;213;5;12;0;3;3;142;6;21;27.934;13.863;4.00322374466053E-07;0.547041091472506
ASAP2;SUPT16H;176;0;14;1;3;0;198;1;12;27.838;13.65;4.2508065642637E-07;0.524970453687075
